Patch name 	Actin Time 	Cofilin Time 	Delay 	Cumulative Intensity Ratio
CY259_002_02a_2013_05_22	27.5	19.5	8.5	198.556528699
CY279_005_05a_2013_05_22	26.5	29.5	4.5	262.178244607
CY279_004_02b_2013_05_22	35.0	29.0	5.5	280.838422225
CY281_010_03b_2013_05_22	9.5	39.5	-18.0	-2188.42153332
CY279_005_01a_2013_05_22	34.5			214.380396119
CY281_007_01a_2013_05_22	27.5	7.0	17.0	284.396498576
CY279_004_02a_2013_05_22	31.5	35.5	1.5	206.075081636
CY279_003_06a_2013_05_22	52.0	37.0	19.5	257.466476001
CY280_001_03a_2013_05_22	21.0	26.5	-0.5	163.475332453
CY280_003_02b_2013_05_22	59.5	42.5	19.5	197.873840851
CY280_004_02a_2013_05_22	28.0	20.5	6.0	263.582291993
CY281_009_02b_2013_05_22	48.5			256.885078306
CY282_002_02a_2013_05_22	31.5	30.0	6.0	191.249772838
CY281_008_02a_2013_05_22	33.5	36.0	3.5	58.9932130565
CY279_003_01a_2013_05_22	50.0			277.064559611
CY281_007_05a_2013_05_22	26.5	17.0	9.5	157.558523401
CY279_002_03a_2013_05_22	21.5	15.5	5.5	159.035779248
CY280_005_01a_2013_05_22	33.5	18.0	13.5	214.977852294
CY259_001_02b_2013_05_22	16.5	25.0	1.5	194.657006335
CY282_004_03a_2013_05_22	28.0	32.5	10.0	167.287139573
CY280_004_03a_2013_05_22	41.5	31.5	12.0	190.01213167
CY281_010_03a_2013_05_22	26.5	23.5	4.5	79.7911065641
CY280_005_03a_2013_05_22	29.0	17.0	9.5	224.262396098
CY280_004_02b_2013_05_22	28.5	21.5	6.0	221.332603943
CY280_003_02a_2013_05_22	40.0	34.5	4.5	189.797180038
CY259_003_02a_2013_05_22	28.0	20.5	7.0	282.132474842
CY282_001_04a_2013_05_22	19.5	6.5	8.0	231.122655466
CY281_007_04a_2013_05_22	60.5	44.0	18.0	72.6474446614
CY279_001_05a_2013_05_22	27.5	22.5	6.0	201.550378804
CY280_002_03a_2013_05_22	33.0	36.0	-3.0	75.6064446809
CY282_003_03a_2013_05_22	31.5			310.359449356
CY281_007_07b_2013_05_22	38.5	36.5	6.5	-188.188003508
CY282_005_04a_2013_05_22	22.5	14.0	8.0	153.275943521
CY281_006_04a_2013_05_22	33.5	28.0	10.5	-678.355754658
CY280_003_01a_2013_05_22	20.5	17.0	5.0	296.606188292
CY280_005_02a_2013_05_22	34.5			290.735464237
CY281_010_05a_2013_05_22	41.0	34.0	5.0	84.7948573805
CY280_005_02b_2013_05_22	34.5	30.0	7.0	295.741177651
CY280_003_02d_2013_05_22	20.5	11.5	8.5	185.809286989
CY282_004_02a_2013_05_22	18.0	12.5	6.0	214.299122298
CY281_007_02a_2013_05_22	34.5	32.0	7.0	123.875266855
CY281_006_02a_2013_05_22	42.5	38.0	9.5	139.844791453
CY259_001_02c_2013_05_22	24.0	13.5	7.5	222.849265194
CY308_001_01a_2013_05_17	33.5	27.5	8.0	65.9043365015
CY310_005_04a_2013_05_17	48.0	32.0	13.0	270.806314685
CY308_002_01a_2013_05_17	153.0	139.0	13.5	103.544655966
CY307_001_03b_2013_05_17	17.0	25.5	-1.5	-162.322262744
CY310_005_03a_2013_05_17	46.0	34.5	11.5	168.445093781
CY307_003_04b_2013_05_17	61.5	59.0	4.0	46.1535330291
CY308_005_02b_2013_05_17	32.0	20.0	12.0	306.008528032
CY307_003_03a_2013_05_17	31.5	39.5	4.5	106.795215542
CY309_001_01b_2013_05_17	64.5	49.5	10.0	67.4413263634
CY308_002_01b_2013_05_17	102.5	105.5	6.0	142.353769631
CY310_001_05a_2013_05_17	51.5	17.5	5.5	222.46476176
CY308_001_02a_2013_05_17	91.5	50.0	20.0	218.772252837
CY309_003_02c_2013_05_17	73.0	58.0	14.5	262.491799943
CY307_004_02b_2013_05_17	30.0	12.5	15.5	273.611297432
CY310_003_03a_2013_05_17	56.0	34.5	25.5	172.631144435
CY310_002_01a_2013_05_17	42.0			236.215395962
CY310_005_02a_2013_05_17	53.5	45.5	6.0	327.212134591
CY308_002_01d_2013_05_17	78.0			306.243915939
CY308_005_01c_2013_05_17	59.0	55.5	5.0	86.629484804
CY308_005_02d_2013_05_17	67.0	50.0	12.0	190.293509421
CY307_003_01b_2013_05_17	42.0	36.0	9.5	142.46450854
CY308_002_01e_2013_05_17	31.0	22.5	7.0	261.368415019
CY307_003_02a_2013_05_17	42.5	61.5	4.0	170.52032667
CY310_003_03c_2013_05_17	47.5			305.219316495
CY307_001_03d_2013_05_17	36.5	37.5	-0.5	70.5974009327
CY310_001_02a_2013_05_17	36.0	29.5	7.0	69.4801519552
CY309_004_03c_2013_05_17	58.0	43.5	14.5	206.118060304
CY310_001_05b_2013_05_17	39.5	22.0	11.0	176.320535589
CY307_004_02a_2013_05_17	60.5	55.5	1.5	267.217661599
CY308_003_01b_2013_05_17	109.5	110.5	0.5	130.367732514
CY308_005_02e_2013_05_17	76.5	83.0	-6.5	146.063737668
CY309_005_01a_2013_05_17	60.0			267.430409277
CY309_001_02a_2013_05_17	42.5	36.0	7.0	152.204696088
CY308_004_01b_2013_05_17	57.5	47.0	11.0	46.5593455378
CY309_004_02a_2013_05_17	68.5	58.0	10.0	251.964361667
CY310_001_02b_2013_05_17	37.5	41.0	2.0	127.107305259
CY309_003_01d_2013_05_17	61.5	50.5	11.0	125.333775706
CY309_003_02a_2013_05_17	50.5	41.5	12.0	227.517186019
CY307_001_02a_2013_05_17	42.0	30.5	6.5	178.871443716
CY307_002_01a_2013_05_17	31.5	27.0	5.0	125.791487677
CY308_005_01d_2013_05_17	66.0	49.0	16.5	129.259183233
CY310_005_01a_2013_05_17	24.0			312.039545525
CY308_004_03a_2013_05_17	49.5			296.541847143
CY307_003_01a_2013_05_17	54.5	52.0	7.0	139.427882888
CY309_004_01b_2013_05_17	21.0	16.5	4.5	318.94846015
CY308_002_01c_2013_05_17	54.0	42.5	11.0	37.7287842067
CY308_003_01a_2013_05_17	51.5	30.5	20.5	194.113958004
CY309_002_02c_2013_05_17	48.5	58.5	-4.0	217.822885132
